10000 200000
1 236 2
1 392 1
1 764 8
1 2776 9
1 2910 6
1 3291 2
1 4345 6
1 5688 3
1 6395 7
1 7120 5
1 7404 10
1 7472 2
1 9114 10
1 9294 9
1 9429 7
1 9857 2
2 1799 8
2 1969 1
2 2128 5
2 2234 1
2 3856 2
2 3873 7
2 4163 6
2 4174 1
2 4527 10
2 4562 7
2 5009 5
2 5426 8
2 5503 4
2 5602 3
2 6506 5
2 7370 8
2 7459 4
2 8588 6
2 8692 8
2 9369 4
2 9466 6
3 90 6
3 173 8
3 305 7
3 382 3
3 2088 9
3 2240 6
3 2350 9
3 3458 4
3 3518 4
3 3924 5
3 4541 7
3 4917 3
3 4952 7
3 5193 8
3 5886 2
3 5892 5
3 5935 8
3 7643 3
4 855 10
4 1045 6
4 1257 9
4 1701 3
4 2273 2
4 2736 2
4 3806 7
4 4071 6
4 4385 1
4 4435 9
4 5366 1
4 5758 3
4 6110 1
4 7014 5
4 8168 5
4 8523 10
4 8575 5
4 8666 4
4 8981 6
4 9916 2
5 195 6
5 1248 4
5 1355 9
5 1428 8
5 1567 6
5 1762 9
5 2717 6
5 2791 5
5 2800 9
5 3177 1
5 3239 10
5 4065 6
5 4405 4
5 4921 8
5 5187 9
5 5244 1
5 5435 9
5 5463 1
5 5634 7
5 5734 3
5 5851 10
5 5976 5
5 7496 9
5 9147 5
5 9422 7
6 857 7
6 2390 5
6 2461 6
6 2511 7
6 3292 4
6 3684 10
6 4102 7
6 5453 4
6 5579 8
6 5735 6
6 6615 2
6 7697 8
6 7982 10
6 8101 8
6 9060 5
6 9581 10
7 136 5
7 854 3
7 1894 1
7 2656 3
7 2685 10
7 3440 3
7 3576 4
7 3977 7
7 4180 5
7 4725 1
7 4732 4
7 4935 10
7 5217 7
7 5469 3
7 6491 1
7 6807 2
7 6826 9
7 6828 5
7 7472 9
7 7881 6
7 8762 10
8 15 3
8 673 6
8 850 3
8 1480 10
8 1809 10
8 1890 5
8 2011 7
8 2219 8
8 2296 2
8 2971 8
8 3683 2
8 3716 9
8 3780 8
8 4111 2
8 4216 5
8 4283 4
8 4464 6
8 4744 8
8 5306 10
8 5590 5
8 6117 5
8 6204 3
8 6336 5
8 7569 2
8 7747 4
8 7761 9
8 8101 10
8 8276 2
8 8919 10
8 9627 8
9 235 3
9 440 10
9 976 10
9 1050 3
9 1381 3
9 1408 1
9 1614 2
9 2647 7
9 3001 3
9 3018 4
9 3744 3
9 5134 10
9 5268 6
9 6550 5
9 6722 5
9 7094 2
9 7104 7
9 7144 3
9 7400 2
9 9037 4
9 9716 9
10 443 1
10 752 4
10 1224 8
10 1304 9
10 1517 8
10 1688 9
10 2914 7
10 3797 8
10 3840 2
10 4892 1
10 5636 4
10 5674 5
10 6566 7
10 8279 5
10 8431 5
10 9496 7
11 472 10
11 1479 3
11 1967 7
11 2691 8
11 3220 6
11 3297 3
11 3406 6
11 4536 4
11 4617 1
11 4982 2
11 5217 2
11 5362 1
11 5431 1
11 5560 3
11 6006 9
11 7198 3
11 7248 9
11 7668 10
11 9844 8
11 9861 3
11 9864 2
12 11 2
12 31 9
12 305 7
12 896 3
12 900 6
12 925 7
12 1812 8
12 1945 2
12 2914 1
12 3139 4
12 3283 2
12 3338 7
12 3527 8
12 5818 8
12 6059 1
12 6846 7
12 6852 2
12 7589 6
12 8757 1
12 9190 6
12 9316 10
12 9614 5
13 709 9
13 898 9
13 1096 5
13 1344 7
13 1471 1
13 1696 1
13 3379 2
13 4327 5
13 4550 5
13 4579 5
13 5253 4
13 5794 8
13 6072 5
13 6261 7
13 6302 10
13 6964 6
13 7384 9
13 7873 7
13 7957 2
13 8349 2
13 9242 9
13 9499 1
14 1522 8
14 1783 3
14 2665 4
14 2769 10
14 3928 4
14 4103 5
14 5083 3
14 5372 8
14 5516 1
14 5735 9
14 5870 4
14 6614 6
14 6670 3
14 7254 7
14 7904 10
14 8071 4
14 8288 2
14 9189 1
14 9353 2
14 9399 9
14 9476 10
15 173 4
15 233 8
15 271 3
15 418 9
15 685 5
15 956 4
15 1191 2
15 1384 10
15 1635 2
15 2809 4
15 3472 10
15 3641 2
15 3849 1
15 3869 10
15 4112 1
15 5368 8
15 6723 2
15 7064 7
15 7407 2
15 8189 7
15 8346 4
16 559 6
16 1010 4
16 1221 2
16 2676 3
16 2721 4
16 2753 1
16 2846 6
16 4030 2
16 4084 3
16 4223 5
16 4502 9
16 5641 7
16 5644 3
16 5811 4
16 6124 2
16 6295 2
16 7518 3
16 7534 3
16 7670 4
16 8554 3
16 8679 8
16 9939 6
17 2113 6
17 2231 6
17 2294 6
17 2374 4
17 2476 1
17 2719 10
17 3979 1
17 5257 10
17 6094 9
17 7580 1
17 7674 10
17 7803 3
17 7924 6
17 8667 1
17 9468 4
17 9520 4
17 9846 10
18 503 1
18 1296 3
18 2017 9
18 2598 4
18 2673 5
18 2976 9
18 3674 5
18 4080 2
18 4375 2
18 5430 8
18 6117 2
18 6186 3
18 6994 8
18 8701 5
19 929 7
19 2562 7
19 3217 1
19 4774 5
19 4797 7
19 4970 6
19 5063 10
19 5195 7
19 5246 9
19 5545 7
19 5917 2
19 6237 6
19 7377 8
19 7613 5
19 7622 8
19 7826 4
19 8452 3
19 9052 10
19 9378 9
20 615 2
20 4164 9
20 4381 1
20 4725 1
20 4933 8
20 5431 7
20 6543 2
20 8841 5
20 9188 8
20 9493 7
20 9648 9
21 520 7
21 1379 5
21 1705 8
21 1778 9
21 2713 4
21 3509 3
21 3851 7
21 4277 4
21 4329 9
21 4820 4
21 5068 6
21 6330 9
21 6561 6
21 6621 2
21 6844 9
21 7247 4
21 7265 7
21 7399 5
21 8033 1
21 8054 6
22 427 6
22 612 5
22 1237 9
22 1334 10
22 1702 2
22 2298 10
22 2917 3
22 3021 7
22 5027 8
22 5453 1
22 5548 2
22 5782 6
22 6257 2
22 6467 1
22 6624 5
22 6921 2
22 7464 7
22 8386 3
22 9593 5
23 98 8
23 356 8
23 361 5
23 618 5
23 961 9
23 1524 9
23 3203 4
23 3368 4
23 4436 4
23 4511 7
23 6500 3
23 6840 6
23 7080 10
23 7671 9
23 8437 4
23 8527 10
23 8560 5
23 8709 5
23 9665 4
23 9841 7
24 1792 2
24 2404 3
24 2438 9
24 2488 2
24 3064 5
24 4403 10
24 4777 2
24 5540 6
24 5648 10
24 6421 7
24 6882 7
24 7453 4
24 7867 1
24 8117 9
24 8170 2
24 8933 10
24 9762 8
25 489 5
25 639 5
25 973 7
25 1543 10
25 4040 2
25 4981 5
25 5589 5
25 6067 2
25 6969 1
25 7036 5
25 7443 3
25 8439 1
25 8500 3
25 8932 8
25 9993 5
26 211 3
26 1830 6
26 2042 2
26 2756 5
26 3213 2
26 4205 7
26 4433 7
26 4684 2
26 4950 8
26 5271 2
26 5441 3
26 5687 7
26 5709 1
26 6084 9
26 6109 5
26 7442 5
26 7668 10
26 8198 8
26 8437 4
26 9230 4
26 9455 1
27 390 5
27 1658 9
27 1943 9
27 2504 5
27 2996 3
27 3067 1
27 4382 7
27 4541 10
27 4559 10
27 5365 7
27 6298 2
27 6901 8
27 6927 1
27 6976 1
27 6993 7
27 7055 3
27 7678 5
27 7719 2
27 7788 2
27 8292 1
27 8576 6
27 9654 1
27 9966 5
28 161 7
28 357 6
28 1485 1
28 1604 7
28 2031 2
28 2431 4
28 2913 5
28 3191 4
28 3583 3
28 4009 4
28 4937 1
28 5674 7
28 6192 8
28 6802 3
28 7106 7
28 8479 10
28 8739 8
29 500 9
29 1232 1
29 2146 5
29 2851 1
29 3277 7
29 4445 4
29 4605 6
29 4618 6
29 5426 8
29 6169 6
29 6263 2
29 6524 3
29 6608 9
29 6716 8
29 6875 5
29 7335 3
29 7484 5
29 8031 9
29 8133 6
29 8616 1
29 9082 4
29 9193 1
29 9250 7
30 41 5
30 44 1
30 326 6
30 706 4
30 778 1
30 1788 9
30 1974 4
30 2305 2
30 2706 1
30 3162 3
30 3219 9
30 4927 2
30 6083 2
30 6417 5
30 7322 8
30 7354 8
30 9050 10
30 9137 9
30 9747 2
30 9870 3
31 227 5
31 345 1
31 620 9
31 1224 8
31 1697 9
31 2246 7
31 2356 8
31 2600 8
31 3078 4
31 3860 1
31 4346 9
31 5291 7
31 5935 3
31 9517 3
31 9566 2
32 297 1
32 347 3
32 575 9
32 1025 5
32 1063 3
32 1225 4
32 1246 7
32 1754 9
32 1858 7
32 2256 4
32 2328 4
32 2510 9
32 2517 7
32 3062 5
32 3368 10
32 3737 3
32 4173 3
32 4836 8
32 5292 9
32 7284 2
32 7647 8
32 8294 7
32 8556 1
33 102 4
33 467 2
33 474 5
33 820 7
33 926 10
33 1949 8
33 1999 7
33 2015 1
33 2874 9
33 3167 6
33 3211 3
33 3218 8
33 3897 7
33 4722 4
33 4726 9
33 5337 4
33 5793 8
33 6184 9
33 6901 2
33 7758 3
33 8305 8
33 8792 1
33 9795 1
34 353 1
34 436 3
34 2045 9
34 2513 10
34 2879 3
34 3440 7
34 3767 6
34 4169 1
34 4170 6
34 5362 7
34 5846 1
34 7400 7
34 7418 5
34 8829 10
34 8903 1
34 9205 5
35 369 4
35 466 4
35 845 6
35 1313 7
35 1747 2
35 2009 10
35 2744 7
35 4516 8
35 4987 8
35 5235 9
35 5340 3
35 6163 8
35 6240 10
35 6539 4
35 6716 2
35 6900 7
35 6967 4
35 7630 10
35 7906 10
35 8284 6
35 8284 9
35 8690 8
35 8746 8
35 8911 10
35 9028 8
35 9259 9
35 9648 10
35 9685 7
36 214 8
36 686 8
36 885 8
36 994 4
36 1503 4
36 1508 7
36 1737 2
36 4111 2
36 4520 2
36 4723 3
36 4766 7
36 4897 7
36 7100 8
36 7195 6
36 7701 5
36 7797 6
36 9356 8
36 9561 8
36 9698 2
36 9900 10
37 517 10
37 1453 10
37 1639 3
37 1884 2
37 2573 1
37 2846 3
37 3848 10
